[02:14:02] [2.2%] Model: THUDM/CogVideoX-5b | Run: 1/5 | Prompt: 1/3 | Time: 617.32s | Memory: 12.00GB | CLIP: 33.4 | Consist: 0.567 | ETA: 8.5h
[02:24:31] [4.4%] Model: THUDM/CogVideoX-5b | Run: 2/5 | Prompt: 1/3 | Time: 611.34s | Memory: 12.00GB | CLIP: 32.0 | Consist: 0.527 | ETA: 7.9h
[02:35:00] [6.7%] Model: THUDM/CogVideoX-5b | Run: 3/5 | Prompt: 1/3 | Time: 610.57s | Memory: 12.00GB | CLIP: 33.1 | Consist: 0.622 | ETA: 7.6h
[02:45:28] [8.9%] Model: THUDM/CogVideoX-5b | Run: 4/5 | Prompt: 1/3 | Time: 610.31s | Memory: 12.00GB | CLIP: 30.5 | Consist: 0.547 | ETA: 7.3h
[02:55:56] [11.1%] Model: THUDM/CogVideoX-5b | Run: 5/5 | Prompt: 1/3 | Time: 610.58s | Memory: 12.00GB | CLIP: 30.6 | Consist: 0.326 | ETA: 7.1h
[03:06:24] [13.3%] Model: THUDM/CogVideoX-5b | Run: 1/5 | Prompt: 2/3 | Time: 610.12s | Memory: 12.00GB | CLIP: 28.7 | Consist: 0.904 | ETA: 6.9h
[03:16:53] [15.6%] Model: THUDM/CogVideoX-5b | Run: 2/5 | Prompt: 2/3 | Time: 610.44s | Memory: 12.00GB | CLIP: 31.3 | Consist: 0.917 | ETA: 6.7h
[03:27:21] [17.8%] Model: THUDM/CogVideoX-5b | Run: 3/5 | Prompt: 2/3 | Time: 610.36s | Memory: 12.00GB | CLIP: 33.4 | Consist: 0.590 | ETA: 6.5h
[03:37:49] [20.0%] Model: THUDM/CogVideoX-5b | Run: 4/5 | Prompt: 2/3 | Time: 610.49s | Memory: 12.00GB | CLIP: 31.7 | Consist: 0.775 | ETA: 6.4h
[03:48:18] [22.2%] Model: THUDM/CogVideoX-5b | Run: 5/5 | Prompt: 2/3 | Time: 610.86s | Memory: 12.00GB | CLIP: 32.4 | Consist: 0.871 | ETA: 6.2h
[03:58:47] [24.4%] Model: THUDM/CogVideoX-5b | Run: 1/5 | Prompt: 3/3 | Time: 611.29s | Memory: 12.00GB | CLIP: 31.0 | Consist: 0.362 | ETA: 6.0h
