group1,group2,meandiff,p-adj,lower,upper,reject,metric,significant
CogVideoX-2b,CogVideoX-5b,353.2119,0.0,349.7056,356.7181,True,inference_time_seconds,Yes
CogVideoX-2b,CogVideoX1.5-5B,1504.4509,0.0,1500.9447,1507.9571,True,inference_time_seconds,Yes
CogVideoX-2b,Google Veo 3.1,-196.1686,0.0,-200.2172,-192.1199,True,inference_time_seconds,Yes
CogVideoX-2b,HunyuanVideo-1.5,438.3304,0.0,434.2818,442.379,True,inference_time_seconds,Yes
CogVideoX-5b,CogVideoX1.5-5B,1151.239,0.0,1147.7328,1154.7453,True,inference_time_seconds,Yes
CogVideoX-5b,Google Veo 3.1,-549.3804,0.0,-553.4291,-545.3318,True,inference_time_seconds,Yes
CogVideoX-5b,HunyuanVideo-1.5,85.1186,0.0,81.0699,89.1672,True,inference_time_seconds,Yes
CogVideoX1.5-5B,Google Veo 3.1,-1700.6195,0.0,-1704.6681,-1696.5708,True,inference_time_seconds,Yes
CogVideoX1.5-5B,HunyuanVideo-1.5,-1066.1205,0.0,-1070.1691,-1062.0718,True,inference_time_seconds,Yes
Google Veo 3.1,HunyuanVideo-1.5,634.499,0.0,629.9725,639.0255,True,inference_time_seconds,Yes
CogVideoX-2b,CogVideoX-5b,-0.2459,0.0,-0.2459,-0.2459,True,peak_memory_gb,Yes
CogVideoX-2b,CogVideoX1.5-5B,0.2476,0.0,0.2476,0.2476,True,peak_memory_gb,Yes
CogVideoX-2b,Google Veo 3.1,-12.2422,0.0,-12.2422,-12.2422,True,peak_memory_gb,Yes
CogVideoX-2b,HunyuanVideo-1.5,26.8403,0.0,26.8403,26.8403,True,peak_memory_gb,Yes
CogVideoX-5b,CogVideoX1.5-5B,0.4936,0.0,0.4936,0.4936,True,peak_memory_gb,Yes
CogVideoX-5b,Google Veo 3.1,-11.9963,0.0,-11.9963,-11.9963,True,peak_memory_gb,Yes
CogVideoX-5b,HunyuanVideo-1.5,27.0862,0.0,27.0862,27.0862,True,peak_memory_gb,Yes
CogVideoX1.5-5B,Google Veo 3.1,-12.4898,0.0,-12.4898,-12.4898,True,peak_memory_gb,Yes
CogVideoX1.5-5B,HunyuanVideo-1.5,26.5927,0.0,26.5927,26.5927,True,peak_memory_gb,Yes
Google Veo 3.1,HunyuanVideo-1.5,39.0825,0.0,39.0825,39.0825,True,peak_memory_gb,Yes
CogVideoX-2b,CogVideoX-5b,0.1158,0.0,0.1152,0.1163,True,compute_cost_usd,Yes
CogVideoX-2b,CogVideoX1.5-5B,0.4931,0.0,0.4926,0.4937,True,compute_cost_usd,Yes
CogVideoX-2b,Google Veo 3.1,0.6655,0.0,0.6649,0.6661,True,compute_cost_usd,Yes
CogVideoX-2b,HunyuanVideo-1.5,1.3698,0.0,1.3692,1.3704,True,compute_cost_usd,Yes
CogVideoX-5b,CogVideoX1.5-5B,0.3774,0.0,0.3768,0.3779,True,compute_cost_usd,Yes
CogVideoX-5b,Google Veo 3.1,0.5497,0.0,0.5491,0.5503,True,compute_cost_usd,Yes
CogVideoX-5b,HunyuanVideo-1.5,1.254,0.0,1.2534,1.2547,True,compute_cost_usd,Yes
CogVideoX1.5-5B,Google Veo 3.1,0.1723,0.0,0.1717,0.1729,True,compute_cost_usd,Yes
CogVideoX1.5-5B,HunyuanVideo-1.5,0.8767,0.0,0.8761,0.8773,True,compute_cost_usd,Yes
Google Veo 3.1,HunyuanVideo-1.5,0.7044,0.0,0.7037,0.705,True,compute_cost_usd,Yes
CogVideoX-2b,CogVideoX-5b,1.2959,0.728,-1.6456,4.2374,False,clip_score,No
CogVideoX-2b,CogVideoX1.5-5B,1.4944,0.6109,-1.4471,4.4359,False,clip_score,No
CogVideoX-2b,Google Veo 3.1,-2.5596,0.225,-5.9561,0.837,False,clip_score,No
CogVideoX-2b,HunyuanVideo-1.5,-1.9256,0.5059,-5.3221,1.471,False,clip_score,No
CogVideoX-5b,CogVideoX1.5-5B,0.1986,0.9997,-2.7429,3.1401,False,clip_score,No
CogVideoX-5b,Google Veo 3.1,-3.8554,0.0184,-7.252,-0.4589,True,clip_score,Yes
CogVideoX-5b,HunyuanVideo-1.5,-3.2214,0.071,-6.618,0.1751,False,clip_score,No
CogVideoX1.5-5B,Google Veo 3.1,-4.054,0.0116,-7.4506,-0.6574,True,clip_score,Yes
CogVideoX1.5-5B,HunyuanVideo-1.5,-3.42,0.0476,-6.8166,-0.0235,True,clip_score,Yes
Google Veo 3.1,HunyuanVideo-1.5,0.634,0.9897,-3.1635,4.4314,False,clip_score,No
CogVideoX-2b,CogVideoX-5b,0.0203,0.9976,-0.1565,0.1972,False,frame_consistency,No
CogVideoX-2b,CogVideoX1.5-5B,-0.1186,0.3353,-0.2955,0.0583,False,frame_consistency,No
CogVideoX-2b,Google Veo 3.1,-0.2799,0.0026,-0.4841,-0.0757,True,frame_consistency,Yes
CogVideoX-2b,HunyuanVideo-1.5,-0.2807,0.0025,-0.4849,-0.0765,True,frame_consistency,Yes
CogVideoX-5b,CogVideoX1.5-5B,-0.1389,0.19,-0.3158,0.0379,False,frame_consistency,No
CogVideoX-5b,Google Veo 3.1,-0.3002,0.001,-0.5045,-0.096,True,frame_consistency,Yes
CogVideoX-5b,HunyuanVideo-1.5,-0.301,0.001,-0.5052,-0.0968,True,frame_consistency,Yes
CogVideoX1.5-5B,Google Veo 3.1,-0.1613,0.1856,-0.3655,0.0429,False,frame_consistency,No
CogVideoX1.5-5B,HunyuanVideo-1.5,-0.1621,0.1818,-0.3663,0.0422,False,frame_consistency,No
Google Veo 3.1,HunyuanVideo-1.5,-0.0008,1.0,-0.2291,0.2276,False,frame_consistency,No
